------------------------------------------------------------
Client connecting to 10.4.4.2, TCP port 5001 with pid 2506
TCP window size: 43.8 KByte (default)
------------------------------------------------------------
[  3] local 10.4.4.4 port 51898 connected with 10.4.4.2 port 5001
[ ID] Interval        Transfer    Bandwidth       Write/Err  Rtry    Cwnd/RTT
[  3] 8.40-8.50 sec   212 KBytes  17.4 Mbits/sec  1811/0          0      822K/396620 us
[  3] 8.50-8.60 sec   243 KBytes  19.9 Mbits/sec  2077/0          0      830K/390099 us
[  3] 8.60-8.70 sec   280 KBytes  22.9 Mbits/sec  2389/0          0      842K/411284 us
[  3] 8.70-8.80 sec   150 KBytes  12.3 Mbits/sec  1280/0          0      849K/412368 us
[  3] 8.80-8.90 sec   153 KBytes  12.5 Mbits/sec  1304/1          0      854K/421669 us
[  3] 8.90-9.00 sec   249 KBytes  20.4 Mbits/sec  2124/0          0      871K/423611 us
[  3] 9.00-9.10 sec   255 KBytes  20.9 Mbits/sec  2173/0          0      882K/442272 us
[  3] 9.10-9.20 sec   201 KBytes  16.5 Mbits/sec  1715/0          0      886K/436905 us
[  3] 9.20-9.30 sec   116 KBytes  9.49 Mbits/sec  989/0          0      893K/455158 us
[  3] 9.30-9.40 sec   181 KBytes  14.8 Mbits/sec  1545/1          0      907K/441924 us
[  3] 9.40-9.50 sec   266 KBytes  21.8 Mbits/sec  2270/0          0      916K/436415 us
[  3] 9.50-9.60 sec   223 KBytes  18.3 Mbits/sec  1907/0          0      926K/461276 us
[  3] 9.60-9.70 sec   256 KBytes  21.0 Mbits/sec  2185/0          0      934K/456320 us
[  3] 9.70-9.80 sec   113 KBytes  9.25 Mbits/sec  964/0          0      938K/449508 us
[  3] 9.80-9.90 sec   209 KBytes  17.2 Mbits/sec  1788/1          0      950K/453282 us
[  3] 9.90-10.00 sec   315 KBytes  25.8 Mbits/sec  2692/0          0      967K/462558 us
[  3] 10.00-10.10 sec   191 KBytes  15.6 Mbits/sec  1629/1          0      974K/462022 us
[  3] 10.10-10.20 sec   223 KBytes  18.3 Mbits/sec  1908/0          0      982K/475257 us
[  3] 10.20-10.30 sec   158 KBytes  13.0 Mbits/sec  1353/0          0      992K/484345 us
[  3] 10.30-10.40 sec   136 KBytes  11.1 Mbits/sec  1159/0          0      996K/500731 us
[  3] 10.40-10.50 sec   279 KBytes  22.8 Mbits/sec  2378/0          0     1012K/494873 us
[  3] 10.50-10.60 sec   283 KBytes  23.2 Mbits/sec  2414/0          0     1022K/515102 us
[  3] 10.60-10.70 sec   126 KBytes  10.3 Mbits/sec  1074/0          0     1029K/522850 us
[  3] 10.70-10.80 sec   209 KBytes  17.1 Mbits/sec  1787/0          0     1036K/516323 us
[  3] 10.80-10.90 sec   199 KBytes  16.3 Mbits/sec  1703/0          0     1047K/513426 us
[  3] 10.90-11.00 sec   100 KBytes  8.22 Mbits/sec  857/0          0     1059K/490550 us
[  3] 11.00-11.10 sec   402 KBytes  32.9 Mbits/sec  3428/0          0     1073K/488160 us
[  3] 11.10-11.20 sec   223 KBytes  18.3 Mbits/sec  1905/1          0     1080K/496470 us
[  3] 11.20-11.30 sec   144 KBytes  11.8 Mbits/sec  1234/0          0     1086K/500745 us
[  3] 11.30-11.40 sec   209 KBytes  17.1 Mbits/sec  1787/0          0     1097K/513054 us
[  3] 11.40-11.50 sec   185 KBytes  15.2 Mbits/sec  1579/0          0     1102K/519348 us
[  3] 11.50-11.60 sec   301 KBytes  24.7 Mbits/sec  2573/0          0     1119K/515728 us
[  3] 11.60-11.70 sec   209 KBytes  17.1 Mbits/sec  1787/0          0     1132K/543468 us
[  3] 11.70-11.80 sec   137 KBytes  11.2 Mbits/sec  1171/0          0     1135K/545947 us
[  3] 11.80-11.90 sec   242 KBytes  19.8 Mbits/sec  2065/0          0     1142K/551124 us
[  3] 11.90-12.00 sec   157 KBytes  12.9 Mbits/sec  1340/0          0     1152K/558497 us
[  3] 12.00-12.10 sec   116 KBytes  9.50 Mbits/sec  990/0          0     1159K/574022 us
[  3] 12.10-12.20 sec   362 KBytes  29.7 Mbits/sec  3090/0          0     1175K/578220 us
[  3] 12.20-12.30 sec   369 KBytes  30.2 Mbits/sec  3151/0          0     1189K/581069 us
[  3] 12.30-12.40 sec  29.7 KBytes  2.43 Mbits/sec  254/0          0     1193K/589405 us
[  3] 12.40-12.50 sec   246 KBytes  20.2 Mbits/sec  2100/0          0     1200K/589830 us
[  3] 12.50-12.60 sec   109 KBytes  8.89 Mbits/sec  927/0          0     1207K/581719 us
[  3] 12.60-12.70 sec   170 KBytes  13.9 Mbits/sec  1452/0          0     1216K/606844 us
[  3] 12.70-12.80 sec   328 KBytes  26.9 Mbits/sec  2801/0          0     1230K/609474 us
[  3] 12.80-12.90 sec   119 KBytes  9.73 Mbits/sec  1014/0          0     1237K/616814 us
[  3] 12.90-13.00 sec   320 KBytes  26.2 Mbits/sec  2728/1          0     1251K/611428 us
[  3] 13.00-13.10 sec   201 KBytes  16.4 Mbits/sec  1715/0          0     1258K/629670 us
[  3] 13.10-13.20 sec  70.7 KBytes  5.79 Mbits/sec  604/0          0     1262K/633266 us
[  3] 13.20-13.30 sec   247 KBytes  20.3 Mbits/sec  2113/0          0     1276K/634257 us
[  3] 13.30-13.40 sec   218 KBytes  17.8 Mbits/sec  1859/0          0     1305K/636497 us
[  3] 13.40-13.50 sec   218 KBytes  17.8 Mbits/sec  1859/0          0     1309K/642239 us
[  3] 13.50-13.60 sec   313 KBytes  25.6 Mbits/sec  2668/0          0     1333K/654266 us
[  3] 13.60-13.70 sec   221 KBytes  18.1 Mbits/sec  1884/0          0     1357K/676830 us
[  3] 13.70-13.80 sec  67.9 KBytes  5.56 Mbits/sec  580/0          0     1370K/682138 us
[  3] 13.80-13.90 sec   174 KBytes  14.2 Mbits/sec  1486/0          0     1394K/673575 us
[  3] 13.90-14.00 sec   164 KBytes  13.4 Mbits/sec  1401/0          0     1416K/699017 us
[  3] 14.00-14.10 sec   130 KBytes  10.7 Mbits/sec  1111/0          0     1431K/709559 us
[  3] 14.10-14.20 sec   274 KBytes  22.5 Mbits/sec  2342/0          0     1473K/702744 us
[  3] 14.20-14.30 sec   138 KBytes  11.3 Mbits/sec  1181/0          0     1497K/706284 us
[  3] 14.30-14.40 sec   253 KBytes  20.8 Mbits/sec  2163/0          0     1530K/731062 us
[  3] 14.40-14.50 sec   221 KBytes  18.1 Mbits/sec  1883/0          0     1551K/744453 us
[  3] 14.50-14.60 sec   122 KBytes  9.96 Mbits/sec  1038/0          0     1554K/748203 us
[  3] 14.60-14.70 sec  82.0 KBytes  6.72 Mbits/sec  700/1          0     1582K/770611 us
[  3] 14.70-14.80 sec   182 KBytes  14.9 Mbits/sec  1557/0          0     1620K/765716 us
[  3] 14.80-14.90 sec   122 KBytes  9.96 Mbits/sec  1038/0          0     1638K/800560 us
[  3] 14.90-15.00 sec   229 KBytes  18.8 Mbits/sec  1956/0          0     1692K/802625 us
[  3] 15.00-15.10 sec   225 KBytes  18.4 Mbits/sec  1917/0          0     1718K/810049 us
[  3] 15.10-15.20 sec   210 KBytes  17.2 Mbits/sec  1789/1          0     1752K/832802 us
[  3] 15.20-15.30 sec   225 KBytes  18.4 Mbits/sec  1919/0          0     1787K/854385 us
[  3] 15.30-15.40 sec  91.9 KBytes  7.53 Mbits/sec  785/0          0     1804K/870759 us
[  3] 15.40-15.50 sec   184 KBytes  15.1 Mbits/sec  1570/0          0     1834K/888361 us
[  3] 15.50-15.60 sec   113 KBytes  9.27 Mbits/sec  966/0          0     1866K/898318 us
[  3] 15.60-15.70 sec   132 KBytes  10.8 Mbits/sec  1123/0          0     1882K/914036 us
[  3] 15.70-15.80 sec   184 KBytes  15.1 Mbits/sec  1569/1          0     1917K/926174 us
[  3] 15.80-15.90 sec   221 KBytes  18.1 Mbits/sec  1883/0          0     1966K/930688 us
[  3] 15.90-16.00 sec   147 KBytes  12.0 Mbits/sec  1255/0          0     2010K/919491 us
[  3] 16.00-16.10 sec   448 KBytes  36.7 Mbits/sec  3826/0          0     2063K/916438 us
[  3] 16.10-16.20 sec  43.8 KBytes  3.59 Mbits/sec  375/0          0     2063K/923276 us
[  3] 16.20-16.30 sec   180 KBytes  14.7 Mbits/sec  1533/0          0     2101K/985166 us
[  3] 16.30-16.40 sec   243 KBytes  19.9 Mbits/sec  2076/0          0     2146K/995553 us
[  3] 16.40-16.50 sec  74.9 KBytes  6.14 Mbits/sec  640/0          0     2155K/1001095 us
[  3] 16.50-16.60 sec   143 KBytes  11.7 Mbits/sec  1220/0          0     2200K/988812 us
[  3] 16.60-16.70 sec   167 KBytes  13.7 Mbits/sec  1425/0          0     2234K/1023941 us
[  3] 16.70-16.80 sec  86.3 KBytes  7.07 Mbits/sec  737/0          0     2252K/1045098 us
